geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1127604,Sang-e Mashah,P,PPLA2,AF,Afghanistan,,8,607,,,0,,2484,Asia/Kabul,2020/6/9,Afghanistan
1130065,Qal'ah-ye Shahr,P,PPL,AF,Afghanistan,,33,3103,,,7756,,2136,Asia/Kabul,2018/2/17,Afghanistan
1133544,Mingajik,P,PPLA2,AF,Afghanistan,,31,1704,,,0,,280,Asia/Kabul,2018/2/17,Afghanistan
1133574,Mehtar Lam,P,PPLA,AF,Afghanistan,,35,901,,,17345,,795,Asia/Kabul,2020/6/9,Afghanistan
1142404,Kafir Qala,P,PPL,AF,Afghanistan,,11,2008,,,18086,,726,Asia/Kabul,2018/2/17,Afghanistan
1148205,Asmar,P,PPLA2,AF,Afghanistan,,34,1003,,,15708,,913,Asia/Kabul,2020/6/9,Afghanistan
1148658,Andkhoy,P,PPLA2,AF,Afghanistan,,7,1812,,,29208,,306,Asia/Kabul,2020/6/9,Afghanistan
1454590,Chandal Ba'i,P,PPLA2,AF,Afghanistan,,13,108,,,0,,2304,Asia/Kabul,2018/2/17,Afghanistan
1464922,Pul-e Hisar,P,PPLA2,AF,Afghanistan,,3,1302,,,0,,1979,Asia/Kabul,2018/2/17,Afghanistan
1123935,Sperah,P,PPLA2,AF,Afghanistan,,37,3204,,,0,,1743,Asia/Kabul,2020/6/9,Afghanistan
1129867,Qala i Naw,P,PPLA,AF,Afghanistan,,2,1901,,,9000,,887,Asia/Kabul,2018/2/17,Afghanistan
1130981,Pasnay,P,PPLA2,AF,Afghanistan,,33,3103,,,0,,1759,Asia/Kabul,2018/2/17,Afghanistan
1131462,Uruzgan,P,PPL,AF,Afghanistan,,39,2603,,,13388,,2026,Asia/Kabul,2020/6/9,Afghanistan
1132034,Nayak,P,PPLA2,AF,Afghanistan,,5,2804,,,0,,2554,Asia/Kabul,2018/2/17,Afghanistan
1133154,Mizan 'Alaqahdari,P,PPLA2,AF,Afghanistan,,28,2505,,,0,,1409,Asia/Kabul,2020/6/9,Afghanistan
1142852,Du Qal'ah,P,PPLA2,AF,Afghanistan,,6,2110,,,0,,557,Asia/Kabul,2018/2/17,Afghanistan
